aarp,whois.nic.aarp
abarth,whois.afilias-srs.net
abbott,whois.afilias-srs.net
abbvie,whois.afilias-srs.net
abc,whois.nic.abc
abogado,whois.nic.abogado
abudhabi,whois.nic.abudhabi
ac,whois.nic.ac
academy,whois.nic.academy
accountant,whois.nic.accountant
accountants,whois.nic.accountants
aco,whois.afilias-srs.net
actor,whois.nic.actor
ads,whois.nic.google
adult,whois.afilias-srs.net
ae,whois.aeda.net.ae
aeg,whois.nic.aeg
aero,whois.aero
af,whois.nic.af
afamilycompany,whois.nic.afamilycompany
afl,whois.nic.afl
africa,africa-whois.registry.net.za
ag,whois.nic.ag
agakhan,whois.afilias-srs.net
agency,whois.nic.agency
ai,whois.nic.ai
aigo,whois.afilias-srs.net
airbus,whois.nic.airbus
airforce,whois.nic.airforce
airtel,whois.nic.airtel
akdn,whois.afilias-srs.net
alfaromeo,whois.afilias-srs.net
alibaba,whois.nic.alibaba
alipay,whois.nic.alipay
allfinanz,whois.nic.allfinanz
allstate,whois.afilias-srs.net
ally,whois.nic.ally
alsace,whois-alsace.nic.fr
alstom,whois.nic.alstom
am,whois.amnic.net
americanfamily,whois.nic.americanfamily
amfam,whois.nic.amfam
amsterdam,whois.nic.amsterdam
android,whois.nic.google
anquan,whois.teleinfo.cn
anz,whois.nic.anz
aol,whois.nic.aol
apartments,whois.nic.apartments
app,whois.nic.google
apple,whois.afilias-srs.net
aquarelle,whois-aquarelle.nic.fr
ar,whois.nic.ar
archi,whois.afilias.net
army,whois.nic.army
arpa,whois.iana.org
e164.arpa,whois.ripe.net
art,whois.nic.art
arte,whois.nic.arte
as,whois.nic.as
asda,whois.nic.asda
asia,whois.nic.asia
associates,whois.nic.associates
at,whois.nic.at
priv.at,whois.nic.priv.at
attorney,whois.nic.attorney
au,whois.auda.org.au
auction,whois.nic.auction
audi,whois.afilias-srs.net
audible,whois.nic.audible
audio,whois.uniregistry.net
auspost,whois.nic.auspost
author,whois.nic.author
auto,whois.uniregistry.net
autos,whois.afilias.net
avianca,whois.afilias-srs.net
aw,whois.nic.aw
aws,whois.nic.aws
ax,whois.ax
baby,whois.nic.baby
baidu,whois.gtld.knet.cn
band,whois.nic.band
bank,whois.nic.bank
bar,whois.nic.bar
barcelona,whois.nic.barcelona
barclaycard,whois.nic.barclaycard
barclays,whois.nic.barclays
barefoot,whois.nic.barefoot
bargains,whois.nic.bargains
basketball,whois.nic.basketball
bauhaus,whois.nic.bauhaus
bayern,whois.nic.bayern
bbc,whois.nic.bbc
bbt,whois.nic.bbt
bbva,whois.nic.bbva
bcg,whois.nic.bcg
bcn,whois.nic.bcn
be,whois.dns.be
beats,whois.afilias-srs.net
beauty,whois.nic.beauty
beer,whois.nic.beer
bentley,whois.nic.bentley
berlin,whois.nic.berlin
best,whois.nic.best
bestbuy,whois.nic.bestbuy
bet,whois.afilias.net
bg,whois.register.bg
bi,whois1.nic.bi
bible,whois.nic.bible
bid,whois.nic.bid
bike,whois.nic.bike
bingo,whois.nic.bingo
bio,whois.afilias.net
biz,whois.biz
bj,whois.nic.bj
black,whois.afilias.net
blackfriday,whois.uniregistry.net
blockbuster,whois.nic.blockbuster
blog,whois.nic.blog
blue,whois.afilias.net
bms,whois.nic.bms
bmw,whois.nic.bmw
bn,whois.bnnic.bn
bnpparibas,whois.afilias-srs.net
bo,whois.nic.bo
boats,whois.afilias-srs.net
boehringer,whois.afilias-srs.net
bofa,whois.nic.bofa
bom,whois.gtlds.nic.br
bond,whois.nic.bond
boo,whois.nic.google
book,whois.nic.book
bosch,whois.nic.bosch
bostik,whois-bostik.nic.fr
boston,whois.nic.boston
bot,whois.nic.bot
boutique,whois.nic.boutique
box,whois.aridnrs.net.au
br,whois.registro.br
bradesco,whois.nic.bradesco
bridgestone,whois.nic.bridgestone
broadway,whois.nic.broadway
broker,whois.nic.broker
brother,whois.nic.brother
brussels,whois.nic.brussels
budapest,whois-dub.mm-registry.com
bugatti,whois.afilias-srs.net
build,whois.nic.build
builders,whois.nic.builders
business,whois.nic.business
buy,whois.nic.buy
buzz,whois.nic.buzz
bw,whois.nic.net.bw
by,whois.cctld.by
bz,whois.afilias-grs.info
za.bz,whois.centralnic.com
bzh,whois.nic.bzh
ca,whois.cira.ca
co.ca,whois.co.ca
cab,whois.nic.cab
cafe,whois.nic.cafe
cal,whois.nic.google
call,whois.nic.call
cam,whois.nic.cam
camera,whois.nic.camera
camp,whois.nic.camp
cancerresearch,whois.nic.cancerresearch
canon,whois.nic.canon
capetown,capetown-whois.registry.net.za
capital,whois.nic.capital
capitalone,whois.nic.capitalone
car,whois.uniregistry.net
cards,whois.nic.cards
care,whois.nic.care
career,whois.nic.career
careers,whois.nic.careers
cars,whois.uniregistry.net
casa,whois.nic.casa
case,whois.nic.case
caseih,whois.nic.caseih
cash,whois.nic.cash
casino,whois.nic.casino
cat,whois.nic.cat
catering,whois.nic.catering
catholic,whois.aridnrs.net.au
cba,whois.nic.cba
cbs,whois.afilias-srs.net
cc,ccwhois.verisign-grs.com
cd,whois.nic.cd
ceb,whois.afilias-srs.net
center,whois.nic.center
ceo,whois.nic.ceo
cern,whois.afilias-srs.net
cf,whois.dot.cf
cfa,whois.nic.cfa
cfd,whois.nic.cfd
ch,whois.nic.ch
chanel,whois.nic.chanel
channel,whois.nic.google
charity,whois.nic.charity
chat,whois.nic.chat
cheap,whois.nic.cheap
chintai,whois.nic.chintai
christmas,whois.uniregistry.net
chrome,whois.nic.google
church,whois.nic.church
ci,whois.nic.ci
cipriani,whois.afilias-srs.net
circle,whois.nic.cirle
city,whois.nic.city
cityeats,whois.nic.cityeats
cl,whois.nic.cl
claims,whois.nic.claims
cleaning,whois.nic.cleaning
click,whois.uniregistry.net
clinic,whois.nic.clinic
clinique,whois.nic.clinique
clothing,whois.nic.clothing
cloud,whois.nic.cloud
club,whois.nic.club
clubmed,whois.nic.clubmed
cm,whois.netcom.cm
cn,whois.cnnic.cn
co,whois.nic.co
